연도,읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지),데이터기준일
2020,효돈동,농가수,157,203,5,26,29,196,16,2024-05-13
2020,효돈동,면적,94,167.8,4,11.2,20.4,114.9,11.6,2024-05-13
2020,효돈동,생산량,2771,6547,148,775,699,2404,95.5,2024-05-13
2020,영천동,농가수,121,403,9,17,11,137,28,2024-05-13
2020,영천동,면적,76,387,8,7,9,121.2,16.6,2024-05-13
2020,영천동,생산량,2100,15455,296,490,288,3067,70,2024-05-13
2020,동홍동,농가수,21,127,1,4,2,90,12,2024-05-13
2020,동홍동,면적,15,127,1.5,1,1,31.7,8,2024-05-13
2020,동홍동,생산량,423,4934,55.5,69,32,676,68,2024-05-13
2020,서홍동,농가수,51,387,3,2,10,121,19,2024-05-13
2020,서홍동,면적,31.3,221.6,2.5,1,5.2,37.6,26.8,2024-05-13
2020,서홍동,생산량,802,8521,92.5,69,163,775.6,204,2024-05-13
2020,대륜동,농가수,39,479,4,6,0,145,4,2024-05-13
2020,대륜동,면적,46,393,3,0.7,0,58.2,4.8,2024-05-13
2020,대륜동,생산량,1311,15572,111,48,0,1466,45,2024-05-13
2020,대천동,농가수,110,601,1,35,43,639,44,2024-05-13
2020,대천동,면적,105.2,481.1,1,13.6,16.5,222.3,36,2024-05-13
2020,대천동,생산량,2510,17456,37,952,540,6062,314,2024-05-13
2020,중문동,농가수,203,1115,2,90,12,308,53,2024-05-13
2020,중문동,면적,87,537,2,24,8,101.6,19.9,2024-05-13
2020,중문동,생산량,2526,19988,74,1650,259,2184,130.5,2024-05-13
2020,예래동,농가수,228,536,1,18,18,173,10,2024-05-13
2020,예래동,면적,191,340.9,0.5,6.6,11.1,77.7,2.4,2024-05-13
2020,예래동,생산량,4435,11507,18.5,423,360,1881,18,2024-05-13
2021,대정읍,농가수,100,647.8,0,14,113.6,651,15,2024-05-13
2021,대정읍,면적,98,511.2,0,5.8,36,225,5.6,2024-05-13
2021,대정읍,생산량,2303.9,18649.3,0,364.5,1114.7,6843.9,50.5,2024-05-13
2021,남원읍,농가수,443,2808,0,543,891,2791,104,2024-05-13
2021,남원읍,면적,299.1,2240.8,0,230.9,256.1,974.9,78,2024-05-13
2021,남원읍,생산량,8460.6,87269.9,0,16600,9668,35044.6,570.3,2024-05-13
2021,성산읍,농가수,92.9,979.7,0,8,53,390,60,2024-05-13
2021,성산읍,면적,62.1,802.8,0,6,14.3,116.7,44.5,2024-05-13
2021,성산읍,생산량,1369.5,27988,0,319,446.3,3907,240.5,2024-05-13
2021,안덕면,농가수,170,852,0,16,171,452,74,2024-05-13
2021,안덕면,면적,152.4,696,0,6,46.3,126.5,72.2,2024-05-13
2021,안덕면,생산량,3809.1,26168.2,0,421,1578,4165,442,2024-05-13
2021,표선면,농가수,150,909,0,95,229,1202,45,2024-05-13
2021,표선면,면적,132.5,886.7,0,39,66.9,366.9,39,2024-05-13
2021,표선면,생산량,2981.8,34403.3,0,2690,2288.1,12333.8,213.1,2024-05-13
2021,송산동,농가수,41,141.1,0,24,48,204,16,2024-05-13
2021,송산동,면적,23.1,89,0,10.3,10.5,57.2,9.2,2024-05-13
2021,송산동,생산량,542.9,3469.5,0,747,350.8,1892.7,57,2024-05-13
2021,천지동,농가수,3.4,7.4,0,0,0,0,39,2024-05-13
2021,천지동,면적,2.2,5.8,0,0,0,0,3.1,2024-05-13
2021,천지동,생산량,56.8,219.3,0,0,0,0,21,2024-05-13
2021,효돈동,농가수,158,200,0,24,39,310,16,2024-05-13
2021,효돈동,면적,94.4,166.5,0,8,8.7,90.1,12.6,2024-05-13
2021,효돈동,생산량,2642.3,6621.5,0,601,303.2,3176.5,105.5,2024-05-13
2021,영천동,농가수,123.4,400.6,0,17,44,426,28,2024-05-13
2021,영천동,면적,78.6,385.3,0,7,8.4,126.1,18.6,2024-05-13
2021,영천동,생산량,2319.9,15370.3,0,495,285.9,4407.3,115.7,2024-05-13
2021,동홍동,농가수,21.1,125.3,0,3,3,89,12,2024-05-13
2021,동홍동,면적,15.5,125.6,0,1.2,0.2,25,9,2024-05-13
2021,동홍동,생산량,418,4847.3,0,83.5,6.5,891,78,2024-05-13
2021,서홍동,농가수,51.6,381.9,0,2,17,120,19,2024-05-13
2021,서홍동,면적,31.8,218.9,0,1,4.9,34,26.8,2024-05-13
2021,서홍동,생산량,855.4,8560.7,0,70,163.4,1134.1,204,2024-05-13
2021,대륜동,농가수,40.3,472.8,0,11,22,251,4,2024-05-13
2021,대륜동,면적,46.7,387.8,0,4,2.9,62.4,5.8,2024-05-13
2021,대륜동,생산량,1260.7,14813.7,0,280,96.7,2170.5,54.4,2024-05-13
2021,대천동,농가수,108.6,591.3,0,23,305,881,44,2024-05-13
2021,대천동,면적,102.9,473.4,0,10.7,89.4,244.2,38.3,2024-05-13
2021,대천동,생산량,2731.1,18622.1,0,716,2836.4,8922.7,330.5,2024-05-13
2021,중문동,농가수,200.5,1107,0,94,22,372,53,2024-05-13
2021,중문동,면적,86.5,531.9,0,25,3.9,103.5,22.1,2024-05-13
2021,중문동,생산량,2482.7,21284.8,0,1675,130.7,3542.7,151.3,2024-05-13
2021,예래동,농가수,224.6,530.4,0,10,59,286,10,2024-05-13
2021,예래동,면적,186.4,334.1,0,3.2,16.2,71.7,2.4,2024-05-13
2021,예래동,생산량,5382.7,13025.1,0,215,494,2331.7,18,2024-05-13
2022,대정읍,농가수,98,639,4,13,61,375,15,2024-05-13
2022,대정읍,면적,97,505,5,6,41,224,5,2024-05-13
2022,대정읍,생산량,2331.88,16266.05,138.1,385.32,1248.86,6258.56,34.3,2024-05-13
2022,남원읍,농가수,428,2773,18,538,301,1842,110,2024-05-13
2022,남원읍,면적,296,2215,21,232,189,975,78,2024-05-13
2022,남원읍,생산량,7115.84,71345.15,580.02,14899.04,5756.94,27241.5,535.08,2024-05-13
2022,성산읍,농가수,96,985,4,8,63,385,60,2024-05-13
2022,성산읍,면적,63,735,5,6,49,117,45,2024-05-13
2022,성산읍,생산량,1514.52,23674.35,138.1,385.32,1492.54,3268.98,308.7,2024-05-13
2022,안덕면,농가수,165,841,4,16,69,421,74,2024-05-13
2022,안덕면,면적,150,688,6,11,51,127,72,2024-05-13
2022,안덕면,생산량,3606,22160.48,165.72,706.42,1553.46,3548.38,493.92,2024-05-13
2022,표선면,농가수,148,889,6,99,105,639,62,2024-05-13
2022,표선면,면적,130,880,8,41,71,367,39,2024-05-13
2022,표선면,생산량,3125.2,28344.8,220.96,2633.02,2162.66,10253.98,267.54,2024-05-13
2022,송산동,농가수,40,139,1,25,19,115,16,2024-05-13
2022,송산동,면적,23,88,1,10,9,57,9,2024-05-13
2022,송산동,생산량,552.92,2834.48,27.62,642.2,274.14,1592.58,61.74,2024-05-13
2022,천지동,농가수,3,8,1,0,2,0,39,2024-05-13
2022,천지동,면적,2,6,0,0,1,0,3,2024-05-13
2022,천지동,생산량,48.08,193.26,0,0,30.46,0,20.58,2024-05-13
2022,효돈동,농가수,155,204,2,25,27,182,16,2024-05-13
2022,효돈동,면적,93,169,2,13,9,90,13,2024-05-13
2022,효돈동,생산량,2235.72,5443.49,55.24,834.86,274.14,2514.6,89.18,2024-05-13
2022,영천동,농가수,124,395,2,20,37,252,28,2024-05-13
2022,영천동,면적,77,382,3,8,10,126,19,2024-05-13
2022,영천동,생산량,1851.08,12304.22,82.86,513.76,304.6,3520.44,130.34,2024-05-13
2022,동홍동,농가수,22,133,1,9,3,89,12,2024-05-13
2022,동홍동,면적,16,133,0,2,8,25,9,2024-05-13
2022,동홍동,생산량,384.64,4283.93,0,128.44,243.68,698.5,61.74,2024-05-13
2022,서홍동,농가수,51,384,1,4,13,120,19,2024-05-13
2022,서홍동,면적,31,220,2,2,15,34,27,2024-05-13
2022,서홍동,생산량,745.24,7086.2,55.24,128.44,456.9,949.96,185.22,2024-05-13
2022,대륜동,농가수,39,467,2,12,22,251,4,2024-05-13
2022,대륜동,면적,46,385,3,5,24,62,6,2024-05-13
2022,대륜동,생산량,1105.84,12400.85,82.86,321.1,731.04,1732.28,41.16,2024-05-13
2022,대천동,농가수,119,575,4,35,77,795,44,2024-05-13
2022,대천동,면적,119,476,5,14,45,261,38,2024-05-13
2022,대천동,생산량,2860.76,15331.96,138.1,899.08,1370.7,7292.34,260.68,2024-05-13
2022,중문동,농가수,207,1101,4,98,73,372,53,2024-05-13
2022,중문동,면적,88,530,4,28,36,104,22,2024-05-13
2022,중문동,생산량,2115.52,17071.3,110.48,1798.16,1096.56,2905.76,150.92,2024-05-13
2022,예래동,농가수,212,525,3,11,45,286,10,2024-05-13
2022,예래동,면적,182,329,3,7,29,72,2,2024-05-13
2022,예래동,생산량,4375.28,10597.09,82.86,449.54,883.34,2011.68,13.72,2024-05-13
