연도,읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지),데이터기준일
2013,서홍동,생산량,497,6661,297,1278,147,252,0,2024-05-13
2013,대륜동,농가수,15,411,11,3,0,96,6,2024-05-13
2013,대륜동,면적,13,441,6,1,0,36,1,2024-05-13
2013,대륜동,생산량,306,10486,139,98,0,822,14,2024-05-13
2013,대천동,농가수,88,768,44,31,79,579,5,2024-05-13
2013,대천동,면적,85,529,33,13,59,169,1,2024-05-13
2013,대천동,생산량,2391,15127,945,842,1811,5296,14,2024-05-13
2013,중문동,농가수,95,1382,12,29,32,168,14,2024-05-13
2013,중문동,면적,67,567,9,4,25,54,3,2024-05-13
2013,중문동,생산량,1752,16418,262,294,800,1508,103,2024-05-13
2013,예래동,농가수,36,657,6,8,5,119,11,2024-05-13
2013,예래동,면적,31,572,3,6,4,39,2,2024-05-13
2013,예래동,생산량,994,17329,105,403,104,1147,45,2024-05-13
2014,대정읍,농가수,52,703,0,0,110,212,16,2024-05-13
2014,대정읍,면적,39,498,0,0,58,68,4,2024-05-13
2014,대정읍,생산량,1202,16809,0,0,1968,2373,143,2024-05-13
2014,남원읍,농가수,157,3677,216,403,687,1289,126,2024-05-13
2014,남원읍,면적,158,3345,194,138,596,558,33,2024-05-13
2014,남원읍,생산량,5291,123087,6589,12269,16259,22338,541,2024-05-13
2014,성산읍,농가수,73,1068,25,1,140,148,54,2024-05-13
2014,성산읍,면적,39,817,20,0,57,62,5,2024-05-13
2014,성산읍,생산량,1187,27513,914,14,1935,1672,129,2024-05-13
2014,안덕면,농가수,122,1100,14,7,127,147,21,2024-05-13
2014,안덕면,면적,78,744,11,2,62,52,17,2024-05-13
2014,안덕면,생산량,2580,24267,318,135,2183,1515,479,2024-05-13
2014,표선면,농가수,45,936,0,89,79,621,28,2024-05-13
2014,표선면,면적,39,952,0,34,52,252,7,2024-05-13
2014,표선면,생산량,1161,31018,0,2867,237,9995,215,2024-05-13
2014,송산동,농가수,20,309,10,35,10,89,0,2024-05-13
2014,송산동,면적,8,161,4,12,4,31,0,2024-05-13
2014,송산동,생산량,182,5463,116,1024,41,639,0,2024-05-13
2014,천지동,농가수,9,27,13,0,0,8,0,2024-05-13
2014,천지동,면적,3,8,4,0,0,3,0,2024-05-13
2014,천지동,생산량,86,274,111,0,0,55,0,2024-05-13
