사업장명,업종구분대분류,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,도로명우편번호,데이터갱신일자
신로하스,방문판매업,20220412,,폐업,20240507.0,,,,,제주특별자치도 제주시 일도일동 ****,"제주특별자치도 제주시 신산로 *, *층 (일도일동)",63264.0,2024-05-10 02:40:00
SLT프라임제주상사,방문판매업,20070813,,폐업,20080121.0,,,,,제주특별자치도 제주시 도남동 ***번지,제주특별자치도 제주시 신성로*길 ** (도남동),,2018-08-31 23:59:59
KT-TOP,방문판매업,20070822,,폐업,20111228.0,,,,,제주특별자치도 제주시 이도일동 ****번지 *호,제주특별자치도 제주시 전농로 *** (이도일동),,2018-08-31 23:59:59
마임삼도북부지사,방문판매업,20110429,,폐업,20130801.0,,,,,제주특별자치도 제주시 삼도이동 ***번지 *호 *층,"제주특별자치도 제주시 남성로 ***, *층 (삼도이동)",,2018-08-31 23:59:59
막썰어,방문판매업,20100809,,폐업,20130125.0,,,,,제주특별자치도 제주시 애월읍 하귀*리 ****번지,,,2018-08-31 23:59:59
윤선생영어숲외도학원,방문판매업,20100910,,폐업,20140702.0,,,,,제주특별자치도 제주시 외도일동 ***번지 *호 장원빌딩 가동 ***호,제주특별자치도 제주시 우정로**길 * (외도일동),,2018-08-31 23:59:59
천년약속결혼상담소,방문판매업,20101104,,폐업,20170401.0,,,,,제주특별자치도 제주시 구좌읍 세화리 ****번지 *호,제주특별자치도 제주시 구좌읍 세화*길 **-**,63361.0,2018-08-31 23:59:59
삼복결혼정보,방문판매업,20101115,,폐업,20161108.0,,,,,제주특별자치도 제주시 조천읍 조천리 ****번지 **호,제주특별자치도 제주시 조천읍 일주동로 ***-**,63335.0,2018-08-31 23:59:59
두리,방문판매업,20101202,,폐업,20220125.0,,,,,제주특별자치도 제주시 삼양이동 ****번지 **호,제주특별자치도 제주시 설촌로**길 *-* (삼양이동),63319.0,2022-01-27 02:40:00
윤선생영어교실영어숲도남어학원,방문판매업,20110221,,폐업,20121116.0,,,,,제주특별자치도 제주시 도남동 **번지 *층,"제주특별자치도 제주시 도남로*길 * (도남동,*층)",,2018-08-31 23:59:59
제주대리점(킨낙스),방문판매업,20110223,,폐업,20110603.0,,,,,제주특별자치도 제주시 일도*동 ****번지 *호,제주특별자치도 제주시 신산로 **-* (일도이동),,2018-08-31 23:59:59
웨드하나로,방문판매업,20110304,,폐업,20110901.0,,,,,제주특별자치도 제주시 이도*동 ****번지 *호,제주특별자치도 제주시 중앙로 *** (이도일동),,2018-08-31 23:59:59
국제장가보내기운동본부,방문판매업,20110331,,폐업,20160829.0,,,,,제주특별자치도 제주시 애월읍 하귀*리 ***번지,제주특별자치도 제주시 애월읍 일주서로 ****-*,63053.0,2018-08-31 23:59:59
녹십초알로에,방문판매업,20041019,,폐업,20120125.0,,,,,제주시 연동 ***-*,,,2018-08-31 23:59:59
아모레연동특약점,방문판매업,20041026,,폐업,20131011.0,,,,,제주특별자치도 제주시 연동 ***번지 **호 *층,"제주특별자치도 제주시 신광로 ** (연동,*층)",,2018-08-31 23:59:59
아모레제주특약점,방문판매업,20041102,,폐업,20131029.0,,,,,제주특별자치도 제주시 이도이동 ****번지 *호 *층,"제주특별자치도 제주시 연삼로 *** (이도이동,*층)",,2018-08-31 23:59:59
로하스한농,방문판매업,20090526,,폐업,20091105.0,,,,,제주특별자치도 제주시 외도일동 ***번지 *호 (*층),"제주특별자치도 제주시 우정로**길 ** (외도일동,(*층))",,2018-08-31 23:59:59
아쿠아그린텍 (주),방문판매업,20090619,,폐업,20110616.0,,,,,제주특별자치도 제주시 아라일동 *번지 제주바이오센터 ***,,,2018-08-31 23:59:59
예가숯가,방문판매업,20090629,,폐업,20101116.0,,,,,제주특별자치도 제주시 일도*동 ***번지 **호,제주특별자치도 제주시 고마로 ** (일도이동),,2018-08-31 23:59:59
아이티미디어,방문판매업,20090707,,폐업,20090904.0,,,,,제주특별자치도 제주시 연동 ****번지 *호,제주특별자치도 제주시 과원로 **-* (연동),,2018-08-31 23:59:59
케이티엔제주,방문판매업,20090727,,폐업,20120831.0,,,,,제주특별자치도 제주시 이도일동 ****번지 *호 KT *층,"제주특별자치도 제주시 전농로 *** (이도일동,KT *층)",,2018-08-31 23:59:59
휴먼밸런스이레,방문판매업,20060515,,폐업,20090408.0,,,,,제주특별자치도 제주시 연동 ***번지 **호 ***호,"제주특별자치도 제주시 신대로 ***, ***호 (연동)",,2018-08-31 23:59:59
㈜바이오벨류,방문판매업,20061214,,폐업,20070530.0,,,,,제주시 아라 *동 산 * 제주대학교 아열대 원예센타 ***호,,,2018-08-31 23:59:59
주식회사 114  전화정보,방문판매업,20080326,,폐업,20110118.0,,,,,제주특별자치도 제주시 이도일동 ****번지 **호,제주특별자치도 제주시 광양*길 ** (이도일동),,2018-08-31 23:59:59
백록특약점,방문판매업,20110316,,폐업,20130801.0,,,,,제주특별자치도 제주시 이도*동 ****번지 **호 화신빌딩 *층,"제주특별자치도 제주시 서광로 *** (이도이동,화신빌딩 *층)",,2018-08-31 23:59:59
킨낙스(제주총판),방문판매업,20110603,,폐업,20130501.0,,,,,제주특별자치도 제주시 일도*동 ****번지 *호  *층,"제주특별자치도 제주시 신산로 **-* (일도이동,*층)",,2018-08-31 23:59:59
리엔케이이도대리점,방문판매업,20110613,,폐업,20130819.0,,,,,제주특별자치도 제주시 이도*동 ****번지 **호   *층동,"제주특별자치도 제주시 신설로*길 **, *층동 (이도이동)",,2018-08-31 23:59:59
시크릿허브제주도본부,방문판매업,20110622,,폐업,20110705.0,,,,,제주특별자치도 제주시 외도일동 ***번지 *호 **통 *반 외도*차 부영아파트 ***동 ***호,"제주특별자치도 제주시 우평로 ***, ***동 ***층 (외도일동)",,2018-08-31 23:59:59
비비엔에스(주)제주영업소,방문판매업,20110627,,폐업,20111216.0,,,,,제주특별자치도 제주시 연동 ***번지 *호 승우빌딩 *층,"제주특별자치도 제주시 삼무로 ** (연동,승우빌딩 *층)",,2018-08-31 23:59:59
시크릿허브제주도본부,방문판매업,20110705,,폐업,20130222.0,,,,,제주특별자치도 제주시 노형동 ****번지 J하우스 *층,"제주특별자치도 제주시 진군남*길 *, ***호 (노형동, 제이하우스지하*층)",,2018-08-31 23:59:59
특이한 효소,방문판매업,20110829,,폐업,20150224.0,,,,,제주특별자치도 제주시 도두*동 ***번지 남양빌라 가동 ***호,"제주특별자치도 제주시 신성마을*길 **, 가동 ***호 (도두이동,남양빌라)",,2018-08-31 23:59:59
제주마임 (일도중부지사),방문판매업,20110829,,폐업,20130801.0,,,,,제주특별자치도 제주시 일도*동 ***번지 *호 형제빌딩 *층,"제주특별자치도 제주시 고마로 ** (일도이동,형제빌딩 *층)",,2018-08-31 23:59:59
빅토리(승리),방문판매업,20110902,,폐업,20150120.0,,,,,제주특별자치도 제주시 일도이동 ***번지 **호 **통 *반 대원상록수아파트 ***호,"제주특별자치도 제주시 고마로*길 **, ***호 (일도이동,대원상록수아파트)",,2018-08-31 23:59:59
대우버스제주판매 주식회사,방문판매업,20110906,,폐업,20200729.0,,,,,제주특별자치도 제주시 노형동 ****번지 **호,"제주특별자치도 제주시 월랑북길 **, *층 (노형동)",63095.0,2020-07-31 02:40:00
제주지사예은화장품,방문판매업,20120717,,폐업,20130705.0,,,,,제주특별자치도 제주시 삼도*동 ***번지 **호 *층,"제주특별자치도 제주시 서광로 ***, *층 (삼도일동)",,2018-08-31 23:59:59
오휘제주지사,방문판매업,20051004,,폐업,20130630.0,,,,,제주시 이도 *동 ****-*법동빌딩 *층,,,2018-08-31 23:59:59
포원정보통신㈜,방문판매업,20051115,,폐업,20131017.0,,,,,제주특별자치도 제주시 연동 ****번지,제주특별자치도 제주시 국기로*길 ** (연동),,2018-08-31 23:59:59
롯데생활건강,방문판매업,20051209,,폐업,20080627.0,,,,,제주특별자치도 제주시 연동 ***번지 *호,제주특별자치도 제주시 신대로 *** (연동),,2018-08-31 23:59:59
한국글렌도만제주,방문판매업,20051221,,폐업,20111103.0,,,,,제주특별자치도 제주시 삼도이동 ***번지 *호 글렌도만빌딩 *층,"제주특별자치도 제주시 서사로 ** (삼도이동,글렌도만빌딩 *층)",,2018-08-31 23:59:59
(주)윤선생영어숲 도남점,방문판매업,20091215,,폐업,20121220.0,,,,,제주특별자치도 제주시 도남동 **번지 *층,"제주특별자치도 제주시 도남로*길 * (도남동,*층)",,2018-08-31 23:59:59
대우자동차동부영업소,방문판매업,20061112,,폐업,20090101.0,,,,,제주특별자치도 제주시 삼도일동 ***번지 *호,제주특별자치도 제주시 서사로 ** (삼도일동),,2018-08-31 23:59:59
㈜윤선생제주교육,방문판매업,19961212,,폐업,20180108.0,,,,,,"제주특별자치도 제주시 동광로 ***, *층 (일도이동)",63275.0,2018-08-31 23:59:59
제주명품홈쇼핑,방문판매업,20081030,,폐업,20091022.0,,,,,제주특별자치도 제주시 연동 ***번지 *호,제주특별자치도 제주시 삼무로 ** (연동),,2018-08-31 23:59:59
뉴제주명품,방문판매업,20081210,,폐업,20121212.0,,,,,제주특별자치도 제주시 삼도일동 ***번지 **호,제주특별자치도 제주시 서광로 ***-* (삼도일동),,2018-08-31 23:59:59
(주)부일텔레콤,방문판매업,20081212,,폐업,20100415.0,,,,,제주특별자치도 제주시 노형동 ****번지 *호,제주특별자치도 제주시 월랑로 ** (노형동),,2018-08-31 23:59:59
로제트,방문판매업,20081226,,폐업,20100322.0,,,,,제주특별자치도 제주시 이도*동 ****번지 **호 *층,"제주특별자치도 제주시 중앙로 *** (이도일동,*층)",,2018-08-31 23:59:59
제주비젼마임,방문판매업,20090105,,폐업,20180607.0,,,,,제주특별자치도 제주시 한림읍 한림리 ****번지 *호 한림중앙상가***,"제주특별자치도 제주시 한림읍 한림북동길 *, ***호 (한림중앙상가 )",63031.0,2018-08-31 23:59:59
거상,방문판매업,20090115,,폐업,20110121.0,,,,,제주특별자치도 제주시 이도이동 ****번지 **호 한라빌라 ***호,"제주특별자치도 제주시 오복*길 **-*, ***호 (이도이동,한라빌라)",,2018-08-31 23:59:59
다나상사,방문판매업,20090115,,폐업,20100401.0,,,,,제주특별자치도 제주시 이도이동 ****번지 *호 ***호,"제주특별자치도 제주시 광양**길 **, ***호 (이도이동)",,2018-08-31 23:59:59
금강디지털보청기,방문판매업,20090212,,폐업,20151019.0,,,,,제주특별자치도 제주시 연동 ***번지 **호,"제주특별자치도 제주시 삼무로 ** (연동, 삼주빌딩)",63129.0,2018-08-31 23:59:59
87 상사,방문판매업,20090317,,폐업,20150316.0,,,,,제주특별자치도 제주시 이도*동 ****번지 *호,제주특별자치도 제주시 가령로 ** (이도이동),,2018-08-31 23:59:59
제주마임 삼화지사,방문판매업,20090324,,폐업,20130801.0,,,,,제주특별자치도 제주시 일도*동 ***번지 *호 형제빌딩 *층,"제주특별자치도 제주시 고마로 ** (일도이동,형제빌딩 *층)",,2018-08-31 23:59:59
한경오토바이,방문판매업,20080313,,폐업,20100118.0,,,,,제주특별자치도 제주시 한경면 고산리 ****번지,제주특별자치도 제주시 한경면 고락로 *,,2018-08-31 23:59:59
실버텍제주지사,방문판매업,20080515,,폐업,20130603.0,,,,,제주특별자치도 제주시 연동 ***번지 **호 ***호,"제주특별자치도 제주시 연동**길 *, ***호 (연동)",,2018-08-31 23:59:59
주식회사 아이이디에스,방문판매업,20080616,,폐업,20100831.0,,,,,제주특별자치도 제주시 한림읍 대림리 ***번지 *호,제주특별자치도 제주시 한림읍 대림하동길 **-*,,2018-08-31 23:59:59
제주구아바영농법인,방문판매업,20080619,,폐업,20131024.0,,,,,제주특별자치도 제주시 애월읍 신엄리 ***번지,제주특별자치도 제주시 애월읍 중용길 *,,2018-08-31 23:59:59
제주마임남부지사,방문판매업,20080729,,폐업,20130807.0,,,,,제주특별자치도 제주시 일도이동 ***번지 *호 형제빌딩 *층,"제주특별자치도 제주시 고마로 ** (일도이동,형제빌딩 *층)",,2018-08-31 23:59:59
(주)범영테크,방문판매업,20091231,,폐업,20140204.0,,,,,제주특별자치도 제주시 이도이동 ***번지 *호,제주특별자치도 제주시 청귤로*길 ** (이도이동),,2018-08-31 23:59:59
티엠파워주식회사,방문판매업,20100119,,폐업,20110627.0,,,,,제주특별자치도 제주시 연동 ***번지 *호 승우빌딩*층,"제주특별자치도 제주시 삼무로 ** (연동,승우빌딩*층)",,2018-08-31 23:59:59
마임제주동부지사,방문판매업,20100218,,폐업,20130901.0,,,,,제주특별자치도 제주시 일도이동 ***번지 *호 **통 *반 대유대림아파트아파트상가 ***,"제주특별자치도 남광로 ***, ***호 (대유대림아파트)",,2018-08-31 23:59:59
KT&J,방문판매업,20100325,,폐업,20101209.0,,,,,제주특별자치도 제주시 건입동 ****번지 *호,제주특별자치도 제주시 동문로**길 *-* (건입동),,2018-08-31 23:59:59
영진광고,방문판매업,20100402,,폐업,20100426.0,,,,,제주특별자치도 제주시 화북일동 ****번지 **호,제주특별자치도 제주시 진동로*길 ** (화북일동),,2018-08-31 23:59:59
㈜제주풀무원제주영업소,방문판매업,19960831,,폐업,20070705.0,,,,,제주특별자치도 제주시 연동 ***번지 **호,제주특별자치도 제주시 귀아랑*길 * (연동),,2018-08-31 23:59:59
씨에스리테일 제주점,방문판매업,20120316,,폐업,20170119.0,,,,,제주특별자치도 제주시 연동 ****번지 *호 ***호,"제주특별자치도 제주시 국기로*길 * (연동,***호)",,2018-08-31 23:59:59
한국글렌도만 제주지사,방문판매업,20120504,,폐업,20170720.0,,,,,제주특별자치도 제주시 노형동 ****번지 *호,제주특별자치도 제주시 다랑곶길 ** (노형동),63098.0,2018-08-31 23:59:59
한라물산,방문판매업,20120516,,폐업,20130501.0,,,,,제주특별자치도 제주시 이도*동 ****번지 **호,"제주특별자치도 제주시 중앙로 ***, *층 (이도일동)",,2018-08-31 23:59:59
한수풀건강식품,방문판매업,20120517,,폐업,20161103.0,,,,,제주특별자치도 제주시 한림읍 수원리 ***번지 *호,제주특별자치도 제주시 한림읍 수원*길 **,63023.0,2018-08-31 23:59:59
에스앤피 글로벌,방문판매업,20120523,,폐업,20130801.0,,,,,제주특별자치도 제주시 이도이동,"제주특별자치도 제주시 남광로 **, ***동 ***호 (이도이동, 혜성무지개타운)",,2018-08-31 23:59:59
포근한세상,방문판매업,20111031,,폐업,20131227.0,,,,,제주특별자치도 제주시 용담일동 ***번지 *호 지하,"제주특별자치도 제주시 용담로 ***, 지하층 (용담일동)",,2018-08-31 23:59:59
"제주지사예은화장품, 예은피부관리",방문판매업,20121011,,폐업,20121210.0,,,,,제주특별자치도 제주시 삼도*동 ***번지 **호 *층,"제주특별자치도 제주시 서광로 *** (삼도일동,*층)",,2018-08-31 23:59:59
르네셀제주,방문판매업,20131127,,폐업,20181127.0,,,,,제주특별자치도 제주시 화북일동 ****번지 **호 화북백록연립 ***호,"제주특별자치도 제주시 청풍길 *, ***호 (화북일동, 화북백록연립)",63290.0,2018-11-29 02:40:00
웰빙 홀쇼핑,방문판매업,20131202,,폐업,20141022.0,,,,,,"제주특별자치도 제주시 신대로**길 **-**, *층 (연동, 로얄쇼핑센터및오피스텔)",,2018-08-31 23:59:59
(주)쎄븐투어,방문판매업,20131206,,폐업,20151207.0,,,,,,"제주특별자치도 제주시 노형로 ***, *층 (노형동)",63102.0,2018-08-31 23:59:59
메리화,방문판매업,20140113,,폐업,20140822.0,,,,,,"제주특별자치도 제주시 서사로*길 **, ***호 (삼도일동)",,2018-08-31 23:59:59
(주)윤선생영어교실 신제주센터,방문판매업,20140113,,폐업,20161231.0,,,,,,제주특별자치도 제주시 남녕로*길 * (연동),63128.0,2018-08-31 23:59:59
뉴톤보청기,방문판매업,20171128,,폐업,20200511.0,,,,,제주특별자치도 제주시 노형동 ***번지 *호 연동타운 *층,"제주특별자치도 제주시 연북로 **, *층 (노형동, 연동타운)",63085.0,2020-05-16 02:40:00
윤선생제주영어교실,방문판매업,20180108,,폐업,20180530.0,,,,,제주특별자치도 제주시 일도이동 ***번지 **호 *층,"제주특별자치도 제주시 동광로 ***, *층 (일도이동)",63275.0,2018-08-31 23:59:59
주식회사 제주채널,방문판매업,20180115,,폐업,20191218.0,,,,,제주특별자치도 제주시 오라삼동 ****번지 JIBS,"제주특별자치도 제주시 연삼로 **, JIBS (오라삼동)",63148.0,2019-12-21 02:40:00
장례토탈서비스 예당,방문판매업,20121121,,폐업,20140124.0,,,,,,"제주특별자치도 제주시 용문로 ***, *층 (용담이동)",,2018-08-31 23:59:59
만인칡칼국수,방문판매업,20121127,,폐업,20150909.0,,,,,,제주특별자치도 제주시 선사로*길 ** (삼양일동),,2018-08-31 23:59:59
마임 노형서부지사,방문판매업,20121206,,폐업,20130801.0,,,,,,"제주특별자치도 제주시 일주서로 ****, *층 (연동)",,2018-08-31 23:59:59
제주건강생활,방문판매업,20121217,,폐업,20130801.0,,,,,,"제주특별자치도 제주시 신대로 **, ***동 ***호 (연동)",,2018-08-31 23:59:59
에이엔비,방문판매업,20130125,,폐업,20140205.0,,,,,,제주특별자치도 제주시 신산로*길 ** (일도일동),,2018-08-31 23:59:59
해피제주,방문판매업,20130207,,폐업,20130807.0,,,,,,제주특별자치도 제주시 도령로 ** (노형동),,2018-08-31 23:59:59
진선미듀티프리,방문판매업,20130322,,폐업,20150227.0,,,,,,제주특별자치도 제주시 연신로 ** (이도이동),,2018-08-31 23:59:59
넥스트컴퓨터,방문판매업,20080829,,폐업,20171227.0,,,,,제주특별자치도 제주시 이도이동 ****번지 정원파크 상가동 ***호,"제주특별자치도 제주시 신성로**길 **, 상가동 ***호 (이도이동, 전원파크맨션)",63206.0,2018-08-31 23:59:59
신인상사,방문판매업,20080910,,폐업,20100610.0,,,,,제주특별자치도 제주시 이도*동 ****번지 *호 *층,"제주특별자치도 제주시 오현길 ** (이도일동,*층)",,2018-08-31 23:59:59
해피월드,방문판매업,20080907,,폐업,20100628.0,,,,,제주특별자치도 제주시 이도일동 ****번지 **호 보성상가 *층,,,2018-08-31 23:59:59
이롬황성주생식일도지점,방문판매업,20031216,,폐업,20080612.0,,,,,제주특별자치도 제주시 이도이동 ***번지 *호,제주특별자치도 제주시 청귤로*길 ** (이도이동),,2018-08-31 23:59:59
영어숲윤선생영어교실어학원,방문판매업,19970214,,폐업,20131231.0,,,,,제주특별자치도 제주시 삼도일동 ***번지 **호 *층,"제주특별자치도 제주시 서광로 *** (삼도일동,*층)",,2018-08-31 23:59:59
성보환경,방문판매업,19970117,,폐업,20080616.0,,,,,제주특별자치도 제주시 노형동 ****번지 *호 세기*차APT ***호,,,2018-08-31 23:59:59
대한씨앤티주식회사,방문판매업,20060508,,폐업,20120222.0,,,,,제주특별자치도 제주시 이도이동 ***번지 평화빌딩 *층,"제주특별자치도 제주시 정든로*길 * (이도이동,평화빌딩 *층)",,2018-08-31 23:59:59
드림라이프,방문판매업,20070126,,폐업,20070702.0,,,,,제주시 삼도 *동 ***-**,,,2018-08-31 23:59:59
이맥스,방문판매업,20070308,,폐업,20070723.0,,,,,제주시 일도*동****-*,,,2018-08-31 23:59:59
이롬라이프,방문판매업,20070320,,폐업,20181001.0,,,,,제주시 용담*동***-*,제주특별자치도 제주시 용담로*길 ** (용담삼동),63151.0,2018-10-03 02:36:30
내츄럴헬스코리아,방문판매업,20070327,,폐업,20080125.0,,,,,제주시 용담*동***-*,,,2018-08-31 23:59:59
삼다원,방문판매업,20070402,,폐업,20101214.0,,,,,제주시 제주시일도*동****-**,,,2018-08-31 23:59:59
뉴스킨엔터프라이즈,방문판매업,20070418,,폐업,20070710.0,,,,,제주특별자치도 제주시 연동 ***번지 *호,제주특별자치도 제주시 아연로 ** (연동),,2018-08-31 23:59:59
건강식품,방문판매업,20070601,,폐업,20071011.0,,,,,제주특별자치도 제주시 도남동 ***번지 도남*차이편한세상아파트 ***동 ***호,"제주특별자치도 제주시 오남로 *-**, ***동 ***호 (도남동,도남*차이편한세상아파트)",,2018-08-31 23:59:59
알칼리환원수워터랜드,방문판매업,20070605,,폐업,20080430.0,,,,,제주특별자치도 제주시 노형동 ****번지 *호,제주특별자치도 제주시 달마루길 **-* (노형동),,2018-08-31 23:59:59
천지식품,방문판매업,20070627,,폐업,20080604.0,,,,,제주특별자치도 제주시 연동 ***번지 ***호,제주특별자치도 제주시 비월*길 ** (연동),,2018-08-31 23:59:59
코로시이쁘제,방문판매업,20070523,,폐업,20100121.0,,,,,제주특별자치도 제주시 연동 ***번지 **호,제주특별자치도 제주시 연동*길 ** (연동),,2018-08-31 23:59:59
건국유업동제주점,방문판매업,20180123,,폐업,20180605.0,,,,,제주특별자치도 제주시 이도이동 ***번지 *호,제주특별자치도 제주시 가령로 ** (이도이동),63216.0,2018-08-31 23:59:59
외도휴대폰할인매장,방문판매업,20180319,,폐업,20180403.0,,,,,제주특별자치도 제주시 외도일동 ***번지 *호 가온체리티아파트 ***호,"제주특별자치도 제주시 우정로 **, *층 ***호 (외도일동, 가온체리티아파트)",63070.0,2018-08-31 23:59:59
휘슬러상사,방문판매업,20180323,,폐업,20190304.0,,,,,제주특별자치도 제주시 오라이동 ****번지 루온토빌리지 ***동 ***호,"제주특별자치도 제주시 연북로 ***, ***동 ***호 (오라이동, 루온토빌리지)",63147.0,2019-03-06 02:40:00
제주소방안전,방문판매업,20040528,,폐업,20080131.0,,,,,제주시 일도 *동 ***-**,,,2018-08-31 23:59:59
㈜윤선생영어교육,방문판매업,20040818,,폐업,20140112.0,,,,,제주특별자치도 제주시 연동 ****번지 **호 *층 *호,"제주특별자치도 제주시 남녕로*길 *, *층 *호 (연동)",,2018-08-31 23:59:59
우정상사,방문판매업,19971216,,폐업,20090115.0,,,,,제주시 용담 *동 ***-*,,,2018-08-31 23:59:59
한결(H&S)유통,방문판매업,20130503,,폐업,20140320.0,,,,,,제주특별자치도 제주시 탑동로**길 * (삼도이동),,2018-08-31 23:59:59
웰빙플러스21,방문판매업,20130516,,폐업,20140828.0,,,,,,"제주특별자치도 제주시 중앙로**길 **-*, *층 (일도일동)",,2018-08-31 23:59:59
메가플러스학원,방문판매업,20130723,,폐업,20150710.0,,,,,,"제주특별자치도 제주시 월랑로 **, *층 (노형동)",63100.0,2018-08-31 23:59:59
제주특산품,방문판매업,20130726,,폐업,20131021.0,,,,,,제주특별자치도 제주시 동문로 **-* (건입동),,2018-08-31 23:59:59
오르다코리아제주지사,방문판매업,20040128,,폐업,20200413.0,,,,,제주특별자치도 제주시 연동 ****번지 *호,제주특별자치도 제주시 연화로*길 ** (연동),63140.0,2020-04-16 02:40:00
마임제주동부지사,방문판매업,20130904,,폐업,20140613.0,,,,,,"제주특별자치도 제주시 남광로 ***, ***호 (일도이동, 대유대림아파트)",,2018-08-31 23:59:59
르네세코리아(주),방문판매업,20130926,,폐업,20131108.0,,,,,,제주특별자치도 제주시 우정로 ** (외도일동),,2018-08-31 23:59:59
나르지오제주지점,방문판매업,20131106,,폐업,20150121.0,,,,,,제주특별자치도 제주시 연삼로 *** (이도이동),,2018-08-31 23:59:59
(주)한국지엠쉐보레제주선진,방문판매업,20131108,,폐업,20181017.0,,,,,제주특별자치도 제주시 노형동 ****번지 *호 사라빌딩,"제주특별자치도 제주시 노형로 ***, 사라빌딩 (노형동)",63099.0,2018-10-19 02:37:31
동양정보기술주식회사,방문판매업,20131112,,폐업,20220628.0,,,,,제주특별자치도 제주시 삼도일동 ***번지 **호,제주특별자치도 제주시 서사로**길 ** (삼도일동),63185.0,2022-07-06 02:40:00
웰빙플러스,방문판매업,20131127,,폐업,20140701.0,,,,,,제주특별자치도 제주시 평전*길 * (삼도일동),,2018-08-31 23:59:59
한울텔레콤,방문판매업,20070822,,폐업,20120727.0,,,,,제주특별자치도 제주시 이도이동 ****번지 *호,제주특별자치도 제주시 오복*길 ** (이도이동),,2018-08-31 23:59:59
KTC,방문판매업,20070824,,폐업,20130102.0,,,,,제주특별자치도 제주시 이도일동 ****번지 *호 *층,"제주특별자치도 제주시 전농로 *** (이도일동,*층)",,2018-08-31 23:59:59
KTT,방문판매업,20070824,,폐업,20100325.0,,,,,제주특별자치도 제주시 이도일동 ****번지 *호 *층,"제주특별자치도 제주시 전농로 *** (이도일동,*층)",,2018-08-31 23:59:59
오휘화장품,방문판매업,20070910,,폐업,20080110.0,,,,,제주특별자치도 제주시 이도이동 ****번지 *호 법동빌딩 *층,"제주특별자치도 제주시 남광북*길 ** (이도이동,법동빌딩 *층)",,2018-08-31 23:59:59
청정제주,방문판매업,20060323,,폐업,20101111.0,,,,,제주시 노형동 ****-*,,,2018-08-31 23:59:59
방방,방문판매업,20060331,,폐업,20071203.0,,,,,제주시 오라 *동 ****-*,제주특별자치도 제주시 서광로*길 * (오라일동),,2018-08-31 23:59:59
남양유업 중부대리점,방문판매업,20170621,,폐업,20200128.0,,,,,제주특별자치도 제주시 이도이동 ****번지 *호,"제주특별자치도 제주시 구남동*길 *-*, *층 (이도이동)",63232.0,2020-01-31 02:40:00
성불,방문판매업,20170824,,폐업,20190329.0,,,,,제주특별자치도 제주시 일도일동 ****번지,제주특별자치도 제주시 신산로 * (일도일동),63264.0,2019-05-15 02:40:00
미래정보통신,방문판매업,20170829,,폐업,20220429.0,,,,,제주특별자치도 제주시 일도이동 ****-**,"제주특별자치도 제주시 신산로 **, *층 (일도이동)",63265.0,2022-05-05 02:40:00
주식회사 오션씨앤티,방문판매업,20170911,,폐업,20180816.0,,,,,제주특별자치도 제주시 용담이동 ***번지 **호,제주특별자치도 제주시 용화로 ** (용담이동),63156.0,2018-08-31 23:59:59
(주)알로에마임제주서부지사,방문판매업,20020808,,폐업,20071019.0,,,,,제주특별자치도 제주시 연동 ***번지 **호 수영빌딩 *층,"제주특별자치도 제주시 노연로 ***-* (연동,수영빌딩 *층)",,2018-08-31 23:59:59
주식회사 제이 에스 텔레콤,방문판매업,20170123,,폐업,20220630.0,,,,,제주특별자치도 제주시 일도이동 ***번지 *호,제주특별자치도 제주시 동광로 *** (일도이동),63275.0,2022-07-06 02:40:00
주식회사 이앤티 (E&T) 제주,방문판매업,20170126,,폐업,20180608.0,,,,,제주특별자치도 제주시 이도이동 ****번지 *호,제주특별자치도 제주시 중앙로 *** (이도이동),63209.0,2018-08-31 23:59:59
드림아이티,방문판매업,20170403,,폐업,20221021.0,,,,,제주특별자치도 제주시 도남동 **번지 *호,"제주특별자치도 제주시 연삼로 ***, *층 (도남동)",63221.0,2022-10-26 02:40:00
부부결혼정보사,방문판매업,20170419,,폐업,20200526.0,,,,,제주특별자치도 제주시 구좌읍 세화리 ****번지 *호,제주특별자치도 제주시 구좌읍 세화*길 **-**,63361.0,2020-05-28 02:40:00
기아자동차삼다판매점,방문판매업,19990929,,폐업,20070703.0,,,,,제주특별자치도 제주시 연동 ***번지 **호,,,2018-08-31 23:59:59
기아자동차한라대리점,방문판매업,19991013,,폐업,20240111.0,,,,,제주특별자치도 제주시 오라이동 ****번지,"제주특별자치도 제주시 연삼로 *** (오라이동, 광은빌딩)",63148.0,2024-01-14 02:40:00
메리메리깡,방문판매업,20150403,,폐업,20160329.0,,,,,제주특별자치도 제주시 도남동,"제주특별자치도 제주시 신성로**길 **, ***호 (도남동, 덕진웰리브아파트)",63205.0,2018-08-31 23:59:59
로하스,방문판매업,20150105,,폐업,20150817.0,,,,,,제주특별자치도 제주시 관덕로*길 ** (이도일동),,2018-08-31 23:59:59
거성쇼핑,방문판매업,20150522,,폐업,20151109.0,,,,,,"제주특별자치도 제주시 동광로 **, *층 (일도이동)",63274.0,2018-08-31 23:59:59
정우통신교육,방문판매업,20150526,,폐업,20240610.0,,,,,제주특별자치도 제주시 연동 ***번지 *호 *층,"제주특별자치도 제주시 문송길 **, *층 (연동)",63122.0,2024-06-12 02:40:00
